Referencia;Tipo_vivienda;Dirección;Barrio;Distrito;Población;Superficie construida;Superficie útil;Superficie solar;Habitaciones;Baños;Planta;Antigüedad;Conservación;Gastos de comunidad;Precio;Precio/m²;PMZona;PMm²Zona;RMP;RMH;Descripción;Url_foto;Url_vivienda
 4514966-A24-P404;Apartamento;Calle Ciudad de Ceuta;Núcleo Urbano ;Villanueva de la Cañada;Villanueva de la Cañada;50.0;45.0;0.0;1;1; Semisótano;; En buen estado;;900.0;18.0;1731.0;18.55;18512.0;63085.0;"ALQUILER PARA ESTUDIANTES – GASTOS INCLUIDOS
MM Inmobiliaria alquila este precioso estudio completamente amueblado y con cocina equipada, todo en un estilo moderno, práctico y muy cómodo.
La vivienda se encuentra ubicada en la zona de Las Cárcavas, a pocos minutos de la Universidad Alfonso X, puedes ir caminando al centro comercial donde encuentras un centro de salud privado y dos supermercados, restaurante y gasolinera.
A pocos pasos tienes una parada de autobús y si tienes vehículo propio no tendrás problema de aparcamiento.
La zona es residencial, muy tranquila con varios parques y zonas verdes municipales.
También dispondrás para tu uso de una terraza con césped artificial y muebles de jardín
La vivienda está destinada a alquiler de temporada para estudiantes universitarios que cursen su carrera y busquen un espacio tranquilo, cómodo, que cumpla con todas sus necesidades.
La cocina está totalmente equipada, tiene un amplio salón con un gran sofá y televisión, el dormitorio tiene una cama amplia, de 1.35 m de ancho y suficientes muebles de almacenamiento. Hay otro armario en el pasillo para maximizar el orden.
La vivienda es muy luminosa, tiene su entrada propia y cuentas con tu propio telefonillo.
Condiciones de alquiler:
Fianza: 1 mensualidad
Honorarios de gestión de agencia: 1 mensualidad
Alquiler destinado a ESTUDIANTES
Duración del contrato: Septiembre 2024 a Julio 2025

Para mayor información y visitas no dudes en contactarnos a través de este anuncio, nuestra web, RRSS o nuestro whatsapp 6 8 5 2 6 1 0 1 0";https://fotos.imghs.net/apps/514966/41732345931.514966/514966_41732345931_20_20240208184948823.jpg;https://www.pisos.com/alquilar/apartamento-villanueva_de_la_canada_nucleo_urbano-41732345931_514966/
 SA3051-07571;Dúplex;Villanueva del Pardillo;;Villanueva del Pardillo;Villanueva del Pardillo;222.0;146.0;0.0;4;3; 2;;;;1700.0;7.66;2075.0;8.84;16172.0;52958.0;"La Inmobiliaria Internacional CPM gestiona este estupendo dúplex reformado y sin amueblar de 222 m2, 4 habitaciones y terraza; situado en urbanización cerrada, con estupendas zonas comunes, que consta de los siguientes elementos:

Planta de entrada: Hall de entrada. Una cocina con office, que dan salida a una terraza. Lavadero y tendedero. Un amplio y luminoso salón comedor, dividido en dos ambientes, con grandes ventanales, que dan salida a una terraza, con estupendas vistas de las zona. 2 habitaciones con armarios empotrados, la principal en suite, con su baño completo incorporado. 1 baño completo.

Planta primera: 2 amplias y luminosas habitaciones con armarios empotrados y terraza. 1 baño completo.

El magnifico dúplex sin amueblar, dispone de suelo de tarima de madera natural, puerta blindada, vídeo portero, aire condicionado, calefacción y agua calienta por caldera individual de gas natural. la vivienda cuenta con 1 trastero y 1 amplia plaza de garaje, incluida en el precio.

La urbanización ofrece una zona comunitaria cerrada, con un espléndido jardín, sala comunitaria, zona de recreo infantil y piscina.

Sobre la ubicación del dúplex, es inmejorable, ya que se encuentra cerca de la plaza de Villanueva del Pardillo y del colegio bilingüe Vallmont. Paradas de taxis y diferentes líneas de autobús paran enfrente de la vivienda. El Acceso a la A-6 y M-50 es muy rápido. Alrededor del piso se encuentran varios centros comerciales (CC Las Rozas Village), colegios, (Antavilla School, CEIP Rayela, colegi Bilingüe Vallmont), guarderías, hospitales (centro médico Natura), parques, instalaciones deportivas (Aquopolis Villanueva de la Cañada) farmacias, y variedad de restaurantes.";https://fotos.imghs.net/apps/1005/558/1005_103845558_1_2024013122015515191.jpg;https://www.pisos.com/alquilar/duplex-villanueva_del_pardillo_centro_urbano-40870812051_100500/
 GM19-193764;Chalet pareado;Nueva España;Castilla ;Chamartín; Madrid Capital;500.0;;430.0;6;6;0;;;;6900.0;13.8;3396.94;22.37;28233.0;69670.0;GILMAR pone a su disposición esta gran oportunidad. Se alquila chalet independiente pareado con todas las comodidades que tu familia merece. Esta espectacular vivienda se encuentra ubicada en una zona tranquila y residencial, ideal para disfrutar de la privacidad y la serenidad que buscas. Características del chalet: Distribución: Construcción pareada de cuatro plantas con un diseño funcional. Superficie: 500 m² construidos, distribuidos de manera inteligente para aprovechar cada espacio. Habitaciones: 5 amplios dormitorios que brindan confort y privacidad. Baños: 6 baños completos con acabados de calidad y diseño. Cocina: Cocina equipada y con espacio para comedor diario. Salón: Luminoso salón con acceso al jardín, perfecto para reuniones familiares y momentos de relax. Exteriores: Jardín privado, terraza y piscina para disfrutar de agradables momentos al aire libre. Garaje: Espacio para dos vehículos, ofreciendo comodidad y seguridad. Almacenamiento: Práctico trastero para organizar tus pertenencias. Condiciones: Fianza de un mes y contrato a largo plazo. Se piden avales bancarios. Este chalet se presenta en perfecto estado, listo para ser tu nuevo hogar. Disfruta de la sensación de vivir en un entorno tranquilo y seguro, sin renunciar a la proximidad de servicios esenciales y excelentes conexiones de transporte. ¡No dejes pasar esta oportunidad única! Contáctanos para programar una visita y descubrir todas las maravillas que este chalet tiene para ofrecerte.;https://fotos.imghs.net/apps/1021/764/1021_193764_1_2024012319160431250.jpg;https://www.pisos.com/alquilar/chalet_pareado-castilla28036-40841074892_102100/
 XA24-2814-010191;Piso;San Blas;Arcos ;San Blas-Canillejas; Madrid Capital;55.0;;0.0;2;1; 1;; En buen estado;;850.0;15.45;1278.57;16.42;15115.0;39321.0;"Vivienda reformada de 55m2 con 2 dormitorios, salón, cocina totalmente amueblada y equipada, 1 baño, armarios empotrados, calefacción individual por bomba F/C, exterior y muy luminoso, amueblado. Gastos de comunidad incluidos. Cercano al metro "" San Blas"". No se aceptan animales.";https://fotos.imghs.net/apps/1089/317/1089_XA24-73317_1_2024020820063231250.jpg;https://www.pisos.com/alquilar/piso-arcos28037-41717121907_108900/
 XA24-2814-029234;Piso;San Blas;Canillejas ;San Blas-Canillejas; Madrid Capital;100.0;;0.0;3;2;;; En buen estado;;1290.0;12.9;1278.57;16.42;15115.0;39321.0;"Estupenda vivienda reformada a estrenar de 100m2, distribuida en 3 habitaciones, amplio salón-comedor, cocina amueblada y equipada (lavadora y frigorífico a estrenar) con acceso a una terraza abierta de 6m2, 2 baños completos con plato de ducha (uno de ellos en suite), calefacción individual de Gas Natural, ventanas climalit con rotura térmica, piso exterior y luminoso, se entrega sin amueblar. Gastos de Comunidad incluidos en el precio de la renta. Situado en zona comercial con todos los servicios, a 6 min de la estación de metro "" Torre Arias"" (L5). No se aceptan animales.";https://fotos.imghs.net/apps/1089/844/1089_XA24-72844_1_2024011921580731250.jpg;https://www.pisos.com/alquilar/piso-san_blas_canillejas28022-40846995835_108900/
 XA24-2815-011193;Piso;Tetuan;Castillejos ;Tetuán; Madrid Capital;60.0;;0.0;2;1; 6;; En buen estado;;1190.0;19.83;1950.7;21.77;17026.0;39991.0;"Piso de 60 m², distribuido en dos dormitorios, salón con acceso a terraza de 6 m² (dormitorio principal con acceso a terraza de 5 m²), cocina totalmente amueblada y equipada, un amplio baño con plato de ducha. Calefacción, aire acondicionado, armarios empotrados, agua fría y caliente. Piso exterior, muy luminoso y amueblada
Finca con ascensor, videovigilancia y portero físico 24 h, gastos de comunidad incluidos.
El piso se entrega sin la mesa y sillas del salón y con la habitación principal sin camas y mesillas. En zona comercial con todos los servicios. Entre las estaciones de metro: plaza castilla (l1,l9,l10) y valdeacederas (l1). Animales a consultar.
Https://youtu.be/roj2o65us-g";https://fotos.imghs.net/apps/1089/175/1089_XA24-73175_1_2024020305132231250.jpg;https://www.pisos.com/alquilar/piso-castillejos28020-41724022245_108900/
 XA24-2806-029003;Piso;Arganzuela;Jerónimos ;Retiro; Madrid Capital;128.0;;0.0;4;2; 2;; En buen estado;;1700.0;13.28;2506.52;22.52;23925.0;57448.0;Piso de de 128 m2 recién pintado con 4 habitaciones, salón, cocina amueblada y equipada, 1 baño y 1 aseo, calefacción central individualizada, suelos de tarima, exterior y amueblado. Gastos de comunidad incluidos. Finca con ascensor (tres ascensores, dos para acceder a las plantas más uno para acceder al portal para gente con movilidad reducida) y portero físico con recogida de basura . Zona con todos los servicios, frente a la estación de Atocha, muy cerca del Retiro. Situado en frente de la Basílica de Atocha y del Panteón de los Hombres Ilustres Animales a consultar.;https://fotos.imghs.net/apps/1089/270/1089_XA24-72270_1_2023121816155131250.jpg;https://www.pisos.com/alquilar/piso-jeronimos28014-40037020270_108900/
 SA3458-2001/20010012/35;Piso;Centro;Centro ;Móstoles;Móstoles;70.0;;0.0;3;1; 3;; En buen estado;;960.0;13.71;1043.64;13.12;12566.0;34529.0;"¡ALTA DE SUMINISTROS GRATIS!


Excelente vivienda de tres dormitorios y un baño. Se encuentra en la 3ª planta de un edificio residencial. No dispone de ascensor. Situado en Centro - Este en Mostoles.


La vivienda se distribuye en tres dormitorios y , salón-comedor, cocina independiente y un baño.. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de gres en cocina, baño y en el resto de estancias.


Situado en Centro - Este en Mostoles. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público con diversas líneas de autobuses. La parada de metro más cercana es Móstoles Central y se encuentra a 8 minutos caminando.


En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, tales como, sanitarios, educativos, restaurantes, supermercados, comercios, parques...


Requisitos:
- 1 mes de fianza
- Seguro del hogar a la firma del contrato.
- Antigüedad laboral ininterrumpida superior a un año.
- No aparecer en ningún fichero de morosidad.
- Disponer de una ratio de solvencia* de entre un 33% y 40% dependiendo de la zona.
*Solo se tendrán en cuenta ingresos demostrables para acreditar el ratio";https://fotos.imghs.net/apps/1005/035/1005_2001_20010012_35_1_2023041211040913466.jpg;https://www.pisos.com/alquilar/piso-mostoles_centro28931-30882238760_100500/
 VE37-0096-00830;Piso;Calle de la Princesa, cerca de Calle del Duque de Liria;Universidad-Malasaña ;Centro; Madrid Capital;90.0;85.0;0.0;2;1;;;;;2600.0;28.89;2787.63;26.98;19199.0;38360.0;"Impresionante vivienda en la calle Princesa en una ubicación maravillosa,a pocos metros del majestuoso Palacio de Liria y al lado de la maravillosa Plaza de España.
La vivienda dotada de excelentes calidades,está compuesta por dos dormitorios,un baño,salón,cocina americana ,hall-recibidor y 5 balcones todos ellos orientados a la calle Princesa.
- El dormitorio principal posee un gran tamaño,dispone de balcón ,televisión,aire acondicionado,gran luminosidad y un armario de grandes dimensiones.
- El dormitorio secundario, tiene balcón que dota a la habitación de mucha luz,un amplio armario empotrado,televisión y aire acondicionado.
- El baño de la vivienda,al igual que el resto de la vivienda es muy moderno,destacan sus luces indirectas y su estupenda bañera con cascáda
- El salón ,sin duda, es la parte más impactante de la vivienda,sus tres balcones ,su maravillosa luz natural,su amplitud con la fabulosa cocina americana integrada,sus luces indirectas con posibilidad de cambiarles los colores ,hacen de esta estancia un lugar donde estar muy cómodo.
La vivienda se alquila con todo el mobiliario , se solicitará un mes de fianza y un mes de garantía adicional.No se admiten mascotas.

La ubicación es impresionante,la renovada Plaza de España a la izquierda ,Palacio de Liria a la derecha,el metro a escasos pasos de la puerta,Conde Duque a la espalda,a todos los lugares del centro se puede ir andando
Nos encantará poder enseñarosla ,os esperamos !! (ref:0096-00830)";https://fotos.imghs.net/apps/1077/830/1077_0096-00830_1_2024011211220131250.jpg;https://www.pisos.com/alquilar/piso-universidad_malasana28008-40889625261_107700/
 SA3458-2001/20010001/1486;Piso;San Isidro;San Isidro ;Carabanchel; Madrid Capital;66.0;;0.0;3;1; 1;; En buen estado;;1040.0;15.76;1023.96;15.46;12275.0;32049.999999999996;"""¡ALTA DE SUMINISTROS GRATIS!

Excelente apartamento de tres dormitorios y un baño. Se encuentra en la 1ª planta de un edificio residencial. Dispone de ascensor. Situado en San Isidro en el distrito de Carabanchel.

La vivienda se distribuye en tres dormitorios y , salón-comedor, cocina independiente y un baño.. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de gres en cocina y baño y tarima en el resto de estancias. Dispone de calefacción.

Se encuentra ubicado en San Isidro al Suroeste de Madrid. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público con diversas líneas de autobuses. La parada de metro más cercana es Carpetana y se encuentra a 13 minutos caminando. En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, tales como, sanitarios, educativos, restaurantes, supermercados, comercios, parques...

Requisitos:
- 1 mes de fianza
- Seguro del hogar a la firma del contrato.
- Seguro de impagos con repercusión mensual, bonificado en el primer año.
- Antigüedad laboral ininterrumpida superior a un año.
- No aparecer en ningún fichero de morosidad.
- Disponer de una ratio de solvencia* de entre un 33% y 40% dependiendo de la zona.

*Solo se tendrán en cuenta ingresos demostrables para acreditar el ratio

""";https://fotos.imghs.net/apps/1005/486/1005_2001_20010001_1486_1_2023091218091864596.jpeg;https://www.pisos.com/alquilar/piso-carabanchel_san_isidro28019-37560648302_100500/
 XA24-2803-022449;Ático;Puente de Vallecas;San Diego ;Puente de Vallecas; Madrid Capital;65.0;;0.0;2;1; 3;; En buen estado;;990.0;15.23;1024.26;16.55;10941.0;28681.0;"Magnifico ático dúplex de 70m2, consta de 2 habitaciones, 1 aseo,1 baño con bañera, salón Independiente, terraza de 6 m2, cocina amueblada y equipada, armarios empotrados, calefacción Individual de gas natural, la vivienda es exterior, se entrega sin amueblar, finca con ascensor. Gastos de comunidad y plaza de garaje incluidos en el precio. Metro: ""Nueva Numancia"" (L1) EMT: 24. Animales a consultar.";https://fotos.imghs.net/apps/1089/169/1089_XA24-73169_1_2024020220131531250.jpg;https://www.pisos.com/alquilar/atico-san_diego28053-41708407783_108900/
 GM34-193565;Piso;Casco Antiguo de Majadahonda;Zona Norte ;Majadahonda;Majadahonda;40.0;;0.0;1;1;;; Reformado;;765.0;19.12;3328.25;14.16;21248.0;66390.0;"GILMAR pone a su disposición coqueto apartamento amueblado de 1 dormitorio, situado en el corazón de Majadahonda, con todo tipo de servicios en sus inmediaciones (supermercados, comercios, restaurantes, etc). Parada de transporte público muy próximo. La vivienda ha sido objeto de una reforma integral, y presenta acabados muy actuales y de primera calidad. Cuenta con una práctica cocina completamente equipada, con electrodomésticos unida al salón-comedor, armario empotrado vestido interiormente y cuarto de baño completo con plato de ducha y mueble. Este apartamento está dotado de aire acondicionado y goza de mucha tranquilidad y funcionalidad. Dispone de trastero. La vivienda, completamente amueblada, está dotada de todo lo necesario para entrar a vivir (ropa blanca, menaje, tv etc). ""Elección ideal si desea gozar de una vida tranquila y cómoda en el corazón de Majadahonda"". Piso en Casco Antiguo de Majadahonda de 40 m2, 1 dormitorio, 1 baño, exterior CARACTERÍSTICAS: Calefacción: Eléctrica Aire acondicionado Ascensor Portero automático Estado de conservación: reformado";https://fotos.imghs.net/apps/1021/565/1021_193565_1_2024011821045731250.jpg;https://www.pisos.com/alquilar/piso-majadahonda_zona_norte28220-40873323343_102100/
 SA3051-07580;Piso;Universidad-Malasaña;Universidad-Malasaña ;Centro; Madrid Capital;180.0;82.0;0.0;4;2;;;;;2500.0;13.89;2787.63;26.98;19199.0;38360.0;"La Inmobiliaria Internacional CPM gestiona este magnífico y luminoso piso reformado y amueblado, de 180 m2, 4 dormitorios y patio; próximo al metro Callao, que consta de los siguientes elementos:

Hall de entrada. Una cocina con office totalmente equipada, con todos los electrodomésticos incluidos. Un amplio salón comedor, muy luminoso, dividido en 2 ambientes, con grandes ventanales, que dan salida a un patio. 4 dormitorios con armarios empotrados. 2 baños completos.

El piso equipado y amueblado, dispone de suelo de tarima de madera natural, vídeo portero, agua caliente y calefacción individual por caldera de gas natural, ventanas Climalit y puerta blindada.

El edificio es de estilo clásico.

Sobre la ubicación del ático triplex, es inmejorable, ya que se encuentra cercano a Gran Vía y a la plaza de Callao, a escasos metros de la entrada de metro Chueca y Gran Vía. Paradas de taxis y diferentes líneas de autobús paran enfrente del inmueble. El Acceso a la M-30 Y M-40 es muy rápido. Alrededor del inmueble se encuentran varios centros comerciales y de ocio (Mercado de San Ildefonso, El Corte Inglés, doña Manolita, Fnac), colegios (colegio oficial de arquitectos de Madrid, colegio Mercedarias, colegio La Merced, colegio Santa Isabel, colegio Isabel la Católica), guarderías, parques, farmacias, teatros (teatro Lara, teatro Rialto), centros deportivos y culturales, hospitales y variedad de restaurantes.";https://fotos.imghs.net/apps/1005/895/1005_103874895_1_2024020222020620383.jpg;https://www.pisos.com/alquilar/piso-universidad_malasana28004-41724164037_100500/
 SA3051-01868;Piso;Almagro;Almagro ;Chamberí; Madrid Capital;110.0;100.0;0.0;2;2; 1;;;;2500.0;22.73;3441.98;25.93;25275.0;56281.0;"La Inmobiliaria Internacional CPM gestiona este exclusivo y lujoso piso totalmente reformado, luminoso, de 110m2, 2 dormitorios y 2 balcones, construido con materiales de primera calidad, diáfano, con detalles de diseño. El estupendo inmueble se encuentra próximo al metro Rubén Darío y a la prestigiosa Milla de Oro, y se distribuye de la siguiente manera:

Hall de entrada con acceso directo al salón. Una moderna cocina americana totalmente equipada con todos los electrodomésticos incluidos. Cuarto de lavadora y secadora. Un gran salón comedor de 42 m2, dividido en dos ambientes, con una preciosa chimenea decorativa y ventanales desde los que se accede a dos balcones con vistas a la zona. 2 habitaciones, la principal en suite con su baño completo integrado. Los dormitorios son amplios, luminosos y tienen grandes armarios empotrados. Un baño completo.

El piso de lujo totalmente reformado y sin amueblar tiene el suelo de cemento pulido, carpintería exterior RT60, aire acondicionado, vídeo portero, ventanas con Climalit, puerta blindada y agua caliente y calefacción por caldera individual de gas natural.

El emblemático edificio de estilo señorial y corte clásico cuenta con conserje y ascensor.

Sobre la ubicación del piso es inmejorable, ya que se encuentra cercano a la Plaza de Chamberí y a escasos metros de la entrada del metro de Rubén Darío. Paradas de taxis y diferentes líneas de autobús paran enfrente de la vivienda. El Acceso a la M-30 Y M-40 es muy rápido. Alrededor del piso se encuentran varios centros comerciales (Corte Ingles, Centro Comercial ABC Serrano), colegios, (colegio Chamberí Maristas, colegio Blanca de Castilla, colegio SanDiego y San Vicente) guarderías, hospitales ( hospital La Milagrosa, hospital Quirón Salud, hospital HM Madrid), parques ( Plaza Dos de Mayo, parque del Retiro), teatros (teatro Lara, teatro Luchana, teatro Amaya) museos (museo Lázaro Galdiano, museo del Prado, museo Soroya) y variedad de restaurantes.";https://fotos.imghs.net/apps/1005/188/1005_40454188_1_2024012822012522490.jpg;https://www.pisos.com/alquilar/piso-chamberi_almagro28010-40862430791_100500/
 SA3458-2001/20010001/1639;Piso;Amposta;Amposta ;San Blas-Canillejas; Madrid Capital;57.0;;0.0;3;1; 3;;;;1000.0;17.54;1278.57;16.42;15115.0;39321.0;"¡ALTA DE SUMINISTROS GRATIS!


Excelente vivienda de tres dormitorios y un baño. Se encuentra en la 3ª planta de un edificio residencial. No dispone de ascensor. Situado en Amposta en el distrito de San Blas.


La vivienda se distribuye en tres dormitorios y , salón-comedor, cocina independiente y un baño.. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de gres en cocina y baño y tarima en el resto de estancias.


Se encuentra ubicado en Amposta al Noreste de Madrid. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público con diversas líneas de autobuses. La parada de metro más cercana es Simancas y se encuentra a 5 minutos caminando.
En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, tales como, sanitarios, educativos, restaurantes, supermercados, comercios, parques...


Requisitos:
- 1 mes de fianza
- Seguro del hogar a la firma del contrato.
- Antigüedad laboral ininterrumpida superior a un año.
- No aparecer en ningún fichero de morosidad.
- Disponer de una ratio de solvencia* de entre un 33% y 40% dependiendo de la zona.
*Solo se tendrán en cuenta ingresos demostrables para acreditar el ratio";https://fotos.imghs.net/apps/1005/639/1005_2001_20010001_1639_1_2024010917014571790.jpg;https://www.pisos.com/alquilar/piso-san_blas_amposta-40913983574_100500/
 SA2695-2200/22000605/00000069;Piso;Ronda de Gloria Fuertes, 2;Centro ;Rivas-Vaciamadrid;Rivas-Vaciamadrid;78.0;59.0;0.0;2;1; 2;; En buen estado;;975.0;12.5;1262.0;13.84;16184.000000000002;48274.0;"Acogedora urbanización cerrada en Rivas. Cuenta con amplios espacios comunes, un bonito parque infantil, zonas ajardinadas y una gran pista de baloncesto.

La urbanización se encuentra en una zona plenamente consolidada, con todo tipo de servicios y total conexión, en transporte público y carretera, con el centro de Madrid.

Servicios
- Urbanización cerrada
- Piscina
- Pista de pádel
- Zona infantil
- Plaza de garaje
- Trastero
- Servicio de conserjería

Consulte condiciones y disponibilidad. Sin comisiones de agencia.

La vivienda publicada y sus imágenes pueden no corresponderse a la disponibilidad real.

REQUISITOS
- 1 mes de fianza
- Seguro de impago obligatorio.
- Seguro de vivienda a la firma de contrato (contenido).
- Aportación de contrato de trabajo o similar para acreditar ratio de solvencia.";https://fotos.imghs.net/apps/1005/691/1005_103384691_1_2024011022013143587.jpg;https://www.pisos.com/alquilar/piso-rivas_vaciamadrid_centro28522-40840400642_100500/
 XA24-28DG-029272;Chalet;Balcón del Tajo;;Colmenar de Oreja;Colmenar de Oreja;120.0;;0.0;3;2;0;; En buen estado;;850.0;7.08;850.0;7.08;10744.0;28978.0;"Magnífica casa independiente de 120m2 y parcela de 670m2. Dispone de 3 habitaciones, vestidor en habitación principal, salón independiente, cocina totalmente amueblada y equipada, 2 baños completos, armarios empotrados, calefacción individual, bomba frío/calor por conductos, chimenea, sin amueblar. Es una vivienda muy luminosa con porche trasero de 25m2, caseta de madera para almacenaje. Zona residencial con todos los servicios. Gastos de comunidad incluidos. Animales a consultar.
Urbanización con vigilante de seguridad 24 horas, con controles de acceso.";https://fotos.imghs.net/apps/1089/945/1089_XA24-72945_1_2024012420124831250.jpg;https://www.pisos.com/alquilar/chalet-colmenar_de_oreja_centro_urbano-40835357262_108900/
 GM19-191886;Piso;Salamanca;Castellana ;Salamanca; Madrid Capital;180.0;;0.0;3;3;;; En buen estado;;3300.0;18.33;3886.67;27.61;25956.0;60217.0;Piso en salamanca de 180 m², 3 dormitorios, 3 baños, cocina, exterior, muy luminoso y salón independiente características: calefacción: central aire acondicionado ascensor portero fisico estado de conservación: impecable;https://fotos.imghs.net/apps/1021/886/1021_191886_1_2023111619161331250.jpg;https://www.pisos.com/alquilar/piso-salamanca_castellana28006-39214099367_102100/
 SA3051-07187;Piso;Recoletos;Recoletos ;Salamanca; Madrid Capital;180.0;175.0;0.0;4;3; 6;;;;4200.0;23.33;3886.67;27.61;25956.0;60217.0;"La Inmobiliaria Internacional CPM gestiona este amplio y luminoso piso sin amueblar, de 180 m2, 4 habitaciones, y terraza, próximo a la estación de metro Velázquez, que consta de los siguientes elementos:

Hall de entrada. Una cocina con office, totalmente equipada, con todos los electrodomésticos incluidos, que da acceso a una terraza cerrada. Lavadero y tendedero. Un amplio salón comedor totalmente diáfano, con grandes ventanales, y estupendas vistas de las zonas. 4 habitaciones muy luminosas, con armarios empotrados; una de ellas con salida a una terraza; la principal en suite, con su baño completo incorporado. 2 baños completos.

El piso sin amueblar, dispone de suelo de parqué de madera natural, puerta blindada, aire acondicionado frío/calor, vídeo portero, calefacción y agua caliente central. La vivienda cuenta con una amplia plaza de garaje, no incluida en el precio.

El edificio de estilo clásico, cuenta con conserje y ascensor

Sobre la ubicación del piso es inmejorable, ya que se encuentra en pleno corazón del prestigioso barrio Salamanca, cercano a la entrada del metro de Velázquez y Serrano. Paradas de taxis y diferentes líneas de autobús están cercanas al del edificio. El Acceso a la M-30 Y M-40 es muy rápido. Alrededor del piso, se encuentran varios centros comerciales( El Corte Inglés, CC El Jardín de Serrano, Chanel), colegios, (IE Beatriz Galindo, colegio Reina Victoria), guarderías, museos( museo nacional de Artes Decorativas, museo Thyssen), parques (Parque Berlín, Parque El Retiro, parque Eva Duarte) farmacias, hospitales (hospital La Princesa, hospital Ntra. Sra. Del Rosario) y variedad de restaurantes.";https://fotos.imghs.net/apps/1005/570/1005_103920570_1_2024020622024097826.jpg;https://www.pisos.com/alquilar/piso-recoletos28001-41720723603_100500/
 SA5100-2200/22000831/00000002;Piso;Calle Anna Frank, 19;El Cañaveral ;Vicálvaro; Madrid Capital;94.0;;0.0;2;2; 1;;;;1325.0;14.1;1285.7;14.05;13849.0;37141.0;"Y AHORA ALQUILANDO CON NESTAR, LLÉVATE UN 5% DE DESCUENTO EN IKEA EN EL AMUEBLAMIENTO DE TU NUEVA CASA. (*sujeto a condiciones).

WWW. NESTARHOMES. ES

NESTAR HOMES presenta esta promoción única en Cañaveral, con espectaculares zonas comunes diseñadas al detalle para hacer disfrutar tus sentidos en un espacio magnífico, donde sus nuevos vecinos crearán una agradable comunidad para disfrutar del aroma de la vegetación de las zonas verdes y refrescantes piscinas. En definitiva, un residencial pensado para el disfrute en familia, donde vivir en un exclusivo entorno y un estilo de vida en cada detalle, con piscina, extraordinarias áreas verdes, área común de ocio, zonas de relax, gimnasio, coworking, conserjería, pista de pádel.

REALIZA TU VISITA PRESENCIAL A NUESTROS PRECIOSOS PILOTOS.

Este extraordinario proyecto de obra nueva en alquiler en una ubicación inmejorable, en la zona El Cañaveral, con viviendas a estrenar de 1, 2 y 3 dormitorios, donde destacan los espacios al aire libre, para que puedas empezar una nueva vida, adaptada a ti, a tu trabajo, a tu mundo.

El Cañaveral, ubicado en un entorno privilegiado, a menos de 15 minutos del centro de Madrid a menos de 15 minutos y a 3 kilómetros de Coslada. Un barrio moderno, de fácil acceso y grandes avenidas.

Espectaculares viviendas con una distribución muy cuidada, amplias estancias impregnadas de luz natural, suelo radiante y refrescante para dar una total comodidad al inquilino, cocinas modernas y funcionales, armarios empotrados, pintura lisa entre otras calidades.

La urbanización cuenta con unas fantásticas zonas comunes con todo lo que necesitas:

•Piscina
•Pista de pádel
•Conserjería
•Área infantil
•Amplias zonas verdes
•Coworking
•Gimnasio
•Cerradura electrónica
•Punto de recarga vehículo eléctrico

Calidades interiores:

•Suelo radiante y refrescante para mayor comodidad de nuestros inquilinos.
•Cocina totalmente amueblada y equipada con todos los electrodomésticos.
•Baños totalmente equipados con mueble, espejo y mampara de ducha.

Todas las viviendas cuentan con suelo radiante y refrescante.

Instalaciones y servicios respetuosos con el medio ambiente, dejando una muy baja huella de carbono, NESTAR está comprometido con el ahorro energético y económico a la misma vez que vela por el planeta, viviendas con certificación energética tipo A, que además disminuye el gasto y hace más plácida la estancia del inquilino durante todas las estaciones del año.

Todo ello, con el apoyo de una gran empresa como Nestar, que cuenta con una larga trayectoria en la gestión de viviendas en alquiler y con un gran equipo de profesionales a tu servicio, para que puedas despreocuparte de todo.

REQUISITOS

Mes de fianza.
Seguro de impago.
Seguro de hogar a la firma de contrato. (contenido).
Aportación de 3 últimas nóminas o similar para acreditar ratio de solvencia.
Contrato de un año de antigüedad.";https://fotos.imghs.net/apps/1005/357/1005_102127357_1_2024011922010046853.jpg;https://www.pisos.com/alquilar/piso-el_canaveral-40916885848_100500/
